,show_id,title,keyword
0,s3,Ganglands,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war. CrimeTVShows InternationalTVShows TVAction&Adventure SamiBouajila TracyGotoas SamuelJouy JulienLeclercq TV Show"
1,s6,Midnight Mass,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe. TVDramas TVHorror TVMysteries KateSiegel ZachGilford HamishLinklater MikeFlanagan TV Show"
2,s7,My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it. Children&FamilyMovies VanessaHudgens KimikoGlenn JamesMarsden RobertCullen,JoséLuisUcha Movie"
3,s8,Sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past. Dramas IndependentMovies InternationalMovies KofiGhanaba OyafunmikeOgunlano AlexandraDuah HaileGerima Movie"
4,s9,The Great British Baking Show,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best. BritishTVShows RealityTV MelGiedroyc SuePerkins MaryBerry AndyDevonshire TV Show"
5,s10,The Starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward. Comedies Dramas MelissaMcCarthy ChrisO'Dowd KevinKline TheodoreMelfi Movie
6,s12,Bangkok Breaking,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy. CrimeTVShows InternationalTVShows TVAction&Adventure SukollawatKanarot SusharManaying PavaritMongkolpisit KongkiatKomesiri TV Show"
7,s13,Je Suis Karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them. Dramas InternationalMovies LunaWedler JannisNiewöhner MilanPeschel ChristianSchwochow Movie"
8,s14,Confessions of an Invisible Girl,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas. Children&FamilyMovies Comedies KlaraCastanho LuccaPicon JúliaGomes BrunoGarotti Movie"
9,s19,Intrusion,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning. Thrillers FreidaPinto LoganMarshall-Green RobertJohnBurke AdamSalky Movie"
10,s23,Avvai Shanmughi,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her. Comedies InternationalMovies KamalHassan Meena GeminiGanesan K.S.Ravikumar Movie"
11,s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town! Children&FamilyMovies MaisieBenson PaulKillam KerryGudjohnsen AlexWoo,StanleyMoore Movie"
12,s25,Jeans,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing. Comedies InternationalMovies RomanticMovies Prashanth AishwaryaRaiBachchan SriLakshmi S.Shankar Movie"
13,s27,Minsara Kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her. Comedies InternationalMovies Music&Musicals ArvindSwamy Kajol PrabhuDeva RajivMenon Movie
14,s28,Grown Ups,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid. Comedies AdamSandler KevinJames ChrisRock DennisDugan Movie"
15,s29,Dark Skies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat. HorrorMovies Sci-Fi&Fantasy KeriRussell JoshHamilton J.K.Simmons ScottStewart Movie"
16,s30,Paranoia,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor. Thrillers LiamHemsworth GaryOldman AmberHeard RobertLuketic Movie"
17,s31,Ankahi Kahaniya,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing. Dramas IndependentMovies InternationalMovies AbhishekBanerjee RinkuRajguru DelzadHiwale AshwinyIyerTiwari,AbhishekChaubey,SaketChaudhary Movie"
18,s36,The Father Who Moves Mountains,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him. Dramas InternationalMovies Thrillers AdrianTitieni ElenaPurea JudithState DanielSandu Movie"
19,s37,The Stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask. Action&Adventure Dramas InternationalMovies GillesLellouche KarimLeklou FrançoisCivil CédricJimenez Movie"
20,s39,Birth of the Dragon,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events. Action&Adventure Dramas BillyMagnussen RonYuan QuJingjing GeorgeNolfi Movie"
21,s42,Jaws,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast. Action&Adventure ClassicMovies Dramas RoyScheider RobertShaw RichardDreyfuss StevenSpielberg Movie"
22,s43,Jaws 2,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white. Dramas HorrorMovies Thrillers RoyScheider LorraineGary MurrayHamilton JeannotSzwarc Movie"
23,s44,Jaws 3,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood. Action&Adventure HorrorMovies Thrillers DennisQuaid BessArmstrong SimonMacCorkindale JoeAlves Movie"
24,s45,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there. Action&Adventure HorrorMovies Thrillers LorraineGary LanceGuest MarioVanPeebles JosephSargent Movie"
25,s47,Safe House,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location. Action&Adventure DenzelWashington RyanReynolds VeraFarmiga DanielEspinosa Movie
26,s48,The Smart Money Woman,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel. InternationalTVShows RomanticTVShows TVComedies OsasIghodaro IniDima-Okojie KemiLalaAkindoju BunmiAjakaiye TV Show"
27,s49,Training Day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice. Dramas Thrillers DenzelWashington EthanHawke ScottGlenn AntoineFuqua Movie
28,s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy. Action&Adventure AnimeFeatures InternationalMovies KappeiYamaguchi SatsukiYukino MiekoHarada ToshiyaShinohara Movie"
29,s53,InuYasha the Movie 3: Swords of an Honorable Ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened. Action&Adventure AnimeFeatures InternationalMovies KappeiYamaguchi SatsukiYukino KojiTsujitani ToshiyaShinohara Movie
30,s54,InuYasha the Movie 4: Fire on the Mystic Island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo. Action&Adventure AnimeFeatures InternationalMovies KappeiYamaguchi SatsukiYukino KojiTsujitani ToshiyaShinohara Movie"
31,s55,InuYasha the Movie: Affections Touching Across Time,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy. Action&Adventure AnimeFeatures InternationalMovies KappeiYamaguchi SatsukiYukino KojiTsujitani ToshiyaShinohara Movie"
32,s57,Naruto Shippuden the Movie: Blood Prison,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi ChieNakamura RikiyaKoyama MasahikoMurata Movie"
33,s58,Naruto Shippûden the Movie: Bonds,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi ChieNakamura NoriakiSugiyama HajimeKamegaki Movie"
34,s59,Naruto Shippûden the Movie: The Will of Fire,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi ChieNakamura KazuhikoInoue MasahikoMurata Movie"
35,s60,Naruto Shippuden: The Movie,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi ChieNakamura YoichiMasukawa HajimeKamegaki Movie"
36,s61,Naruto Shippuden: The Movie: The Lost Tower,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi ChieNakamura SatoshiHino MasahikoMurata Movie"
37,s62,Naruto the Movie 2: Legend of the Stone of Gelel,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi GamonKaai ChieNakamura HirotsuguKawasaki Movie"
38,s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi ChieNakamura YoichiMasukawa ToshiyukiTsuru Movie"
39,s64,Naruto the Movie: Ninja Clash in the Land of Snow,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess. Action&Adventure AnimeFeatures InternationalMovies JunkoTakeuchi NoriakiSugiyama ChieNakamura TensaiOkamura Movie"
40,s65,Nightbooks,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever. Children&FamilyMovies WinslowFegley LidyaJewett KrystenRitter DavidYarovesky Movie
41,s69,Schumacher,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher. Documentaries InternationalMovies SportsMovies MichaelSchumacher Hanns-BrunoKammertöns,VanessaNöcker,MichaelWech Movie"
42,s72,A StoryBots Space Adventure,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space. Children&FamilyMovies EvanSpiridellis ErinFitzgerald JeffGill DavidA.Vargas Movie
43,s74,King of Boys,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything. Dramas InternationalMovies SolaSobowale AdesuaEtomi Remilekun""Reminisce""Safaru KemiAdetiba Movie"
44,s76,You vs. Wild: Out Cold,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure. Children&FamilyMovies BearGrylls JasonDerekPrempeh BenSimms Movie"
45,s78,Little Singham - Black Shadow,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy? Children&FamilyMovies Comedies SumriddhiShukla JignaBharadwaj SonalKaushal PrakashSatam Movie
46,s79,Tughlaq Durbar,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move. Comedies Dramas InternationalMovies VijaySethupathi Parthiban RaashiKhanna DelhiprasadDeenadayalan Movie
47,s80,Tughlaq Durbar (Telugu),A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move. Comedies Dramas InternationalMovies VijaySethupathi Parthiban RaashiKhanna DelhiprasadDeenadayalan Movie
48,s81,Firedrake the Silver Dragon,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free. Children&FamilyMovies ThomasBrodie-Sangster FelicityJones FreddieHighmore TomerEshed Movie"
49,s82,Kate,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge. Action&Adventure MaryElizabethWinstead JunKunimura WoodyHarrelson CedricNicolas-Troyan Movie"
50,s85,Omo Ghetto: the Saga,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them. Action&Adventure Comedies Dramas FunkeAkindele AyoMakun ChiomaChukwukaAkpotha JJCSkillz,FunkeAkindele Movie"
